4/27 10:27:38  step===1000, Epoch 7/1000, accuracy = 0.000,avg_train_cost = 25.426, lastbatch_err = 0.997, time = 32.749,lr=0.00990000
4/27 11:13:37  step===2000, Epoch 13/1000, accuracy = 0.000,avg_train_cost = 24.566, lastbatch_err = 0.972, time = 30.389,lr=0.00980100
4/27 11:59:32  step===3000, Epoch 19/1000, accuracy = 0.000,avg_train_cost = 24.034, lastbatch_err = 0.923, time = 41.492,lr=0.00970299
4/27 12:45:24  step===4000, Epoch 25/1000, accuracy = 0.000,avg_train_cost = 23.584, lastbatch_err = 0.915, time = 52.370,lr=0.00960596
5/5 12:27:26  step===5000, Epoch 4/1000, accuracy = 0.002,avg_train_cost = 22.694, lastbatch_err = 0.894, time = 16.282,lr=0.00950990
5/5 13:14:24  step===6000, Epoch 10/1000, accuracy = 0.007,avg_train_cost = 20.986, lastbatch_err = 0.850, time = 20.845,lr=0.00941480
5/5 14:1:21  step===7000, Epoch 16/1000, accuracy = 0.007,avg_train_cost = 17.993, lastbatch_err = 0.784, time = 32.087,lr=0.00932065
5/5 14:48:15  step===8000, Epoch 22/1000, accuracy = 0.014,avg_train_cost = 14.821, lastbatch_err = 0.691, time = 43.297,lr=0.00922745
5/6 10:2:48  step===9000, Epoch 3/1000, accuracy = 0.026,avg_train_cost = 11.835, lastbatch_err = 0.598, time = 108.072,lr=0.00913517
5/6 10:27:27  step===10000, Epoch 9/1000, accuracy = 0.078,avg_train_cost = 9.199, lastbatch_err = 0.471, time = 109.094,lr=0.00904382
5/6 10:52:7  step===11000, Epoch 15/1000, accuracy = 0.178,avg_train_cost = 6.483, lastbatch_err = 0.342, time = 114.888,lr=0.00895338
5/6 11:16:47  step===12000, Epoch 21/1000, accuracy = 0.291,avg_train_cost = 5.076, lastbatch_err = 0.243, time = 120.918,lr=0.00886385
5/6 11:41:27  step===13000, Epoch 27/1000, accuracy = 0.419,avg_train_cost = 3.299, lastbatch_err = 0.179, time = 126.841,lr=0.00877521
5/6 12:11:19  step===14000, Epoch 33/1000, accuracy = 0.374,avg_train_cost = 3.711, lastbatch_err = 0.202, time = 265.235,lr=0.00868746
5/6 12:35:59  step===15000, Epoch 39/1000, accuracy = 0.749,avg_train_cost = 1.137, lastbatch_err = 0.056, time = 138.650,lr=0.00860058
5/6 13:0:38  step===16000, Epoch 45/1000, accuracy = 0.870,avg_train_cost = 0.524, lastbatch_err = 0.023, time = 144.559,lr=0.00851458
5/6 13:30:32  step===17000, Epoch 51/1000, accuracy = 0.945,avg_train_cost = 0.254, lastbatch_err = 0.009, time = 300.545,lr=0.00842943
5/6 14:20:4  step===18000, Epoch 57/1000, accuracy = 0.972,avg_train_cost = 0.151, lastbatch_err = 0.004, time = 312.936,lr=0.00834514
5/6 15:9:35  step===19000, Epoch 63/1000, accuracy = 0.976,avg_train_cost = 0.106, lastbatch_err = 0.004, time = 324.534,lr=0.00826169
5/7 1:3:3  step===20000, Epoch 3/1000, accuracy = 0.979,avg_train_cost = 0.081, lastbatch_err = 0.004, time = 225.102,lr=0.00817907
5/7 1:54:52  step===21000, Epoch 9/1000, accuracy = 0.988,avg_train_cost = 0.063, lastbatch_err = 0.002, time = 228.210,lr=0.00809728
